,zpid,id,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,isZillowOwned,badgeInfo,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,info3String,brokerName,hasAdditionalAttributions,isFeaturedListing,availabilityDate,list,relaxed,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.videoCount,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hasOpenHouse,openHouseStartDate,openHouseEndDate,openHouseDescription,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,variableData.data.isFresh,info2String,info1String,hdpData.homeInfo.unit,builderName,hdpData.homeInfo.providerListingID,lotAreaString,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.listing_sub_type.is_foreclosure,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,streetViewMetadataURL,streetViewURL
0,76542826,76542826,,https://photos.zillowstatic.com/fp/e9e32bd19eb1bcda52fc185f7f8ffda7-p_e.jpg,True,https://www.zillow.com/homedetails/1526-Autumnridge-Dr-Columbus-GA-31904/76542826_zpid/,FOR_SALE,House for sale,$,"$215,000",215000,"1526 Autumnridge Dr, Columbus, GA 31904",1526 Autumnridge Dr,Columbus,GA,31904,False,3.0,2.0,1805.0,False,,False,False,False,ForSale,For Sale (Broker),,False,True,False,False,https://photos.zillowstatic.com/fp/6514fdf466fb37cfcea7316f94414a9a-zillow_web_48_23.jpg,"Coldwell Banker / Kennon, Parker, Duncan & Davis",True,False,,True,False,32.542633,-84.96898,3D_HOME,3D Tour,76542826,1526 Autumnridge Dr,31904,Columbus,GA,32.542633,-84.96898,215000.0,2.0,3.0,1805.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,215000.0,True,False,False,USD,USA,162970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,69912785,69912785,,https://photos.zillowstatic.com/fp/0ab88cafd41c63698ace1004d50c8db3-p_e.jpg,True,https://www.zillow.com/homedetails/44-Whatley-Rd-Griffin-GA-30224/69912785_zpid/,FOR_SALE,House for sale,$,"$310,000",310000,"44 Whatley Rd, Griffin, GA 30224",44 Whatley Rd,Griffin,GA,30224,False,3.0,2.0,1658.0,False,,False,False,False,ForSale,For Sale (Broker),310300.0,False,True,True,False,https://photos.zillowstatic.com/fp/0cb94cd8ded4a691f746b2119208ab23-zillow_web_48_23.jpg,,False,False,,True,False,33.186867,-84.17537,3D_HOME,3D Tour,69912785,44 Whatley Rd,30224,Griffin,GA,33.186867,-84.17537,310000.0,2.0,3.0,1658.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,310000.0,True,False,False,USD,USA,144995.0,1665385200000.0,310300.0,1849.0,"$5,000 (Oct 10)",-5000.0,1.0,1.1,acres,,,,,,,,,,,,,,,,,,,,,,
2,221574398,221574398,,https://photos.zillowstatic.com/fp/6bfef52595c870ad28a4c31a7dcf1b61-p_e.jpg,True,https://www.zillow.com/homedetails/100-Taylor-Dr-Guyton-GA-31312/221574398_zpid/,FOR_SALE,House for sale,$,"$375,000",375000,"100 Taylor Dr, Guyton, GA 31312",100 Taylor Dr,Guyton,GA,31312,False,5.0,3.0,3301.0,False,,False,False,False,ForSale,For Sale (Broker),375000.0,False,True,False,False,https://photos.zillowstatic.com/fp/0cb94cd8ded4a691f746b2119208ab23-zillow_web_48_23.jpg,,False,False,,True,False,32.343216,-81.42959,3D_HOME,3D Tour,221574398,100 Taylor Dr,31312,Guyton,GA,32.343216,-81.42959,375000.0,3.0,5.0,3301.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,375000.0,True,False,False,USD,USA,2373.0,,375000.0,2129.0,,,,0.62,acres,,,,,,,,,,,,,,,,,,,,,,
3,55020013,55020013,,https://photos.zillowstatic.com/fp/f2423e464bc1aa28b83269618406f3e3-p_e.jpg,True,https://www.zillow.com/homedetails/2160-Lake-Shore-Lndg-Alpharetta-GA-30005/55020013_zpid/,FOR_SALE,House for sale,$,"$3,549,000",3549000,"2160 Lake Shore Lndg, Alpharetta, GA 30005",2160 Lake Shore Lndg,Alpharetta,GA,30005,False,6.0,7.0,5118.0,False,,False,False,False,ForSale,For Sale (Broker),3509600.0,False,True,False,False,https://photos.zillowstatic.com/fp/0cb94cd8ded4a691f746b2119208ab23-zillow_web_48_23.jpg,,False,False,,True,False,34.08195,-84.23103,3D_HOME,3D Tour,55020013,2160 Lake Shore Lndg,30005,Alpharetta,GA,34.08195,-84.23103,3549000.0,7.0,6.0,5118.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,3549000.0,True,False,False,USD,USA,1279800.0,,3509600.0,9698.0,,,,0.47000000000000003,acres,,,,,,,,,,,,,,,,,,,,,,
4,49820003,49820003,,https://photos.zillowstatic.com/fp/7a28aae17ca40948a765173453531315-p_e.jpg,True,https://www.zillow.com/homedetails/4878-W-Lake-Way-Douglasville-GA-30135/49820003_zpid/,FOR_SALE,House for sale,$,"$299,000",299000,"4878 W Lake Way, Douglasville, GA 30135",4878 W Lake Way,Douglasville,GA,30135,False,3.0,2.0,1524.0,False,,False,False,False,ForSale,For Sale (Broker),245400.0,False,True,False,False,https://photos.zillowstatic.com/fp/0cb94cd8ded4a691f746b2119208ab23-zillow_web_48_23.jpg,,False,False,,True,False,33.672974,-84.79555,3D_HOME,3D Tour,49820003,4878 W Lake Way,30135,Douglasville,GA,33.672974,-84.79555,299000.0,2.0,3.0,1524.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,299000.0,True,False,False,USD,USA,143600.0,,245400.0,1848.0,,,,0.447,acres,,,,,,,,,,,,,,,,,,,,,,
5,69837184,69837184,,https://photos.zillowstatic.com/fp/2ee7ef173aba94815e9f245b06a80fcf-p_e.jpg,True,https://www.zillow.com/homedetails/433-McIntosh-Dr-Waynesboro-GA-30830/69837184_zpid/,FOR_SALE,House for sale,$,"$229,000",229000,"433 McIntosh Dr, Waynesboro, GA 30830",433 McIntosh Dr,Waynesboro,GA,30830,False,3.0,2.0,1479.0,False,,False,False,False,ForSale,For Sale (Broker),,False,True,False,False,,"Mary Yelton Realty, Llc",True,False,,True,False,33.07865,-82.02519,3D_HOME,3D Tour,69837184,433 McIntosh Dr,30830,Waynesboro,GA,33.07865,-82.02519,229000.0,2.0,3.0,1479.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,229000.0,True,False,False,USD,USA,153930.0,,,1069.0,,,,0.8300000000000001,acres,,,,,,,,,,,,,,,,,,,,,,
6,230946669,230946669,,https://photos.zillowstatic.com/fp/326475c251e49221855b65341d4c0ded-p_e.jpg,True,https://www.zillow.com/homedetails/512-N-Mangum-Bridge-Rd-Maysville-GA-30558/230946669_zpid/,FOR_SALE,Home for sale,$,"$300,000",300000,"512 N Mangum Bridge Rd, Maysville, GA 30558",512 N Mangum Bridge Rd,Maysville,GA,30558,False,3.0,2.0,1232.0,False,,False,False,False,ForSale,For Sale (Broker),126000.0,False,True,False,False,https://photos.zillowstatic.com/fp/0cb94cd8ded4a691f746b2119208ab23-zillow_web_48_23.jpg,,False,False,,True,False,34.274082,-83.52268,OPEN_HOUSE,Open: Sun. 1-3pm,230946669,512 N Mangum Bridge Rd,30558,Maysville,GA,34.274082,-83.52268,300000.0,2.0,3.0,1232.0,MANUFACTURED,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,300000.0,True,False,False,USD,USA,39382.0,,126000.0,710.0,,,,10.0,acres,True,2022-10-16T13:00:00,2022-10-16T15:00:00,Open House - 1:00 - 3:00 PM,True,Sun. 1-3pm,"[{'open_house_start': 1665950400000, 'open_house_end': 1665957600000}]",,,,,,,,,,,,,,,
7,14431538,14431538,,https://photos.zillowstatic.com/fp/4b4b2f5082b3fb49ff190883bc9d272b-p_e.jpg,True,https://www.zillow.com/homedetails/3891-Artist-Vw-Decatur-GA-30034/14431538_zpid/,FOR_SALE,House for sale,$,"$274,900",274900,"3891 Artist Vw, Decatur, GA 30034",3891 Artist Vw,Decatur,GA,30034,False,3.0,2.0,2426.0,False,,False,False,False,ForSale,For Sale (Broker),274900.0,False,True,False,False,https://photos.zillowstatic.com/fp/0cb94cd8ded4a691f746b2119208ab23-zillow_web_48_23.jpg,,False,False,,True,False,33.687218,-84.22922,3D_HOME,3D Tour,14431538,3891 Artist Vw,30034,Decatur,GA,33.687218,-84.22922,274900.0,2.0,3.0,2426.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,274900.0,True,False,False,USD,USA,157200.0,,274900.0,2044.0,,,,0.9,acres,,,,,,,,,,,,,,,,,,,,,,
8,76564384,76564384,,https://photos.zillowstatic.com/fp/89a6a0359980ff05566781917f51f550-p_e.jpg,True,https://www.zillow.com/homedetails/6119-Arrington-Dr-Columbus-GA-31909/76564384_zpid/,FOR_SALE,House for sale,$,"$149,900",149900,"6119 Arrington Dr, Columbus, GA 31909",6119 Arrington Dr,Columbus,GA,31909,False,3.0,2.0,1141.0,False,,False,False,False,ForSale,For Sale (Broker),,False,True,False,False,https://photos.zillowstatic.com/fp/6514fdf466fb37cfcea7316f94414a9a-zillow_web_48_23.jpg,Keller Williams Realty River Cities,True,False,,True,False,32.54769,-84.915855,3D_HOME,3D Tour,76564384,6119 Arrington Dr,31909,Columbus,GA,32.54769,-84.915855,149900.0,2.0,3.0,1141.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,149900.0,True,False,False,USD,USA,69230.0,,,,,,,0.45,acres,,,,,,,,,,,,,,,,,,,,,,
9,68635872,68635872,,https://photos.zillowstatic.com/fp/a34af838dd114bee373b0e0afae26a4a-p_e.jpg,True,https://www.zillow.com/homedetails/5180-Huntington-Crest-Ln-Cumming-GA-30040/68635872_zpid/,FOR_SALE,House for sale,$,"$539,900",539900,"5180 Huntington Crest Ln, Cumming, GA 30040",5180 Huntington Crest Ln,Cumming,GA,30040,False,4.0,3.0,2640.0,False,,False,False,False,ForSale,For Sale (Broker),425400.0,False,True,False,False,https://photos.zillowstatic.com/fp/0cb94cd8ded4a691f746b2119208ab23-zillow_web_48_23.jpg,,False,False,,True,False,34.184402,-84.1907,3D_HOME,3D Tour,68635872,5180 Huntington Crest Ln,30040,Cumming,GA,34.184402,-84.1907,539900.0,3.0,4.0,2640.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,539900.0,True,False,False,USD,USA,316990.0,,425400.0,2666.0,,,,0.27999999999999997,acres,,,,,,,,,,,,,,,,,,,,,,
